Size,Comparisons
71,440
400,3488
945,9371
519,4685
158,1166
926,9162
383,3318
373,3218
398,3468
681,6467
296,2448
785,7611
936,9272
142,1022
594,5510
210,1634
670,6346
283,2318
266,2148
865,8491
74,464
46,258
271,2198
683,6489
917,9063
337,2858
317,2658
789,7655
902,8898
108,736
175,1319
907,8953
238,1886
201,1553
286,2348
65,392
446,3948
294,2428
165,1229
455,4038
961,9547
817,7963
824,8040
223,1751
233,1841
548,5004
496,4448
969,9635
988,9844
880,8656
871,8557
685,6511
294,2428
91,600
297,2458
320,2688
765,7391
854,8370
808,7864
700,6676
692,6588
742,7138
811,7897
390,3388
531,4817
895,8821
735,7061
558,5114
404,3528
620,5796
329,2778
544,4960
662,6258
903,8909
318,2668
439,3878
635,5961
526,4762
916,9052
370,3188
792,7688
186,1418
755,7281
728,6984
807,7853
846,8282
328,2768
47,265
632,5928
116,800
368,3168
819,7985
384,3328
757,7303
660,6236
677,6423
131,923
417,3658
112,768
136,968
